reporter,date,document_id,title,year,abstract,authors,document_type,pubtitle,document_url
nina,1912-12-07,530336690,THE DAWN OF THE NEW FREEDOM.,1912,"The result in the state of Maryland, last November, was a distinct victory, and advance, for the colored people of this state. We weigh well every word which we...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/dawn-new-freedom/docview/530336690/sem-2?accountid=14696
nina,1914-02-07,530395020,MARYLAND INDUSTRIAL SCHOOL FOR BOYS,1914,"Such is the name and title of an institution which has been proposed by His Honor Judge Williams of the Juvenile Court, of the city of Baltimore.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/maryland-industrial-school-boys/docview/530395020/sem-2?accountid=14696
nina,1914-02-07,530409901,CHELTENHAM,1914,"Cheltenham is situated in Prince George's county, Md. Located at that place, is an institution for colored boys, known as the House of Reformation.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham/docview/530409901/sem-2?accountid=14696
nina,1916-05-13,530409901,JANUARY GRAND JURY CLOSES ITS WORK.: VISIT A NUMBER OF INSTITUTIONS AND FIND THEM TO BE IN GOOD CONDITION.,1916,"The Grand Jury for the January ternm of Baltimore City, finished its work and was discharged with thanks by Chief Judge Soper, Friday morning of last week.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/january-grand-jury-closes-work/docview/530388760/sem-2?accountid=14696
nina,1917-09-08,530400309,DEATH COMES TO HARRY S. CUMMINGS: SUCCUMBS AFTER ILLNESS OF MORE THAN A YEAR. HIS CONDITION BECAME SERIOUS A FEW DAYS AGO AND DEATH WAS NOT UNEXPECTED. HAD INTERESTING CAREER WAS OLDEST MEMBER OF STATE BAR IN POINT OF SERVICE SECONDED NOMINATION OF THEODORE ROOSEVELT.,1917,"Harry Smythe Cummings, senior member of the First Branch City Council in point of service, and long a prominent figure in the councils of the Republican party, died late...",NA,front_page,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/death-comes-harry-s-cummings/docview/530400309/sem-2?accountid=14696
nina,1918-02-09,530424301,"""THE OLD ORDER CHANGETH""",1918,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/old-order-changeth/docview/530424301/sem-2?accountid=14696
nina,1918-12-13,530425974,BOYS STEAL TWO CASES OF WHISKEY,1918,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/boys-steal-two-cases-whiskey/docview/530425974/sem-2?accountid=14696
nina,1919-01-24,530459113,"FORUM: ""THE AND CHELTENHAM, TWO DIFFERENT INSTITUTIONS.",1919,None available.,"Taylor, E",letter_to_editor,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/forum/docview/530459113/sem-2?accountid=14696
nina,1919-01-24,530513953,"FORUM: ""THE CUT"" AND CHELTENHAM, TWO DIFFERENT",1919,None available.,"Taylor, E",letter_to_editor,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/forum/docview/530513953/sem-2?accountid=14696
nina,1919-02-07,530420451,MEMBERS OF BOARD VISIT CHELTENHAM,1919,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/members-board-visit-cheltenham/docview/530420451/sem-2?accountid=14696
nina,1919-07-04,530406733,Maryland Home in Need of Soap and Bath.: Vist to Home sor Friendless Children Discloses Fact That Force of Workers is Not Adequate to Keep Up Institution. A Larger Appropriation Needed,1919,"Unless the Board of Managers of the Maryland Home for Friendless Colored Children do more than they are at present, it would seem best for that institution that the...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/maryland-home-need-soap-bath/docview/530406733/sem-2?accountid=14696
nina,1920-07-02,530515146,Jamaicans Arrive: Seven Young Women Here To Seek Their Fortunes,1920,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/jamaicans-arrive/docview/530515146/sem-2?accountid=14696
nina,1920-10-08,530443643,PUT ON BREAD AND WATER: MRS. BARRIET ELLIS ALLEGES THAT SON WAS MISTREATED AT CHELTENHAM,1920,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/put-on-bread-water/docview/530443643/sem-2?accountid=14696
